Number,English,IPA_Eng,Telugu,IPA_Telugu,Roman,PartOfSpeech,Category,English_Example,Telugu_Example
30,admit,/ədˈmɪt/,ఒప్పుకొను,/oppukonu/,oppukonu,Verb,Action > Communication,He admitted his mistake.,అతను తన తప్పును ఒప్పుకున్నాడు.
31,adopt,/əˈdɑpt/,దత్తత తీసుకొను,/dattata tiːsukonu/,dattata tīsikonu,Verb,Action > Social,They decided to adopt a child.,వారు ఒక బిడ్డను దత్తత తీసుకోవాలని నిర్ణయించుకున్నారు.
32,adult,/əˈdʌlt/,వయోజనుడు,/ʋajoːdʒanuɖu/,vayōjanuḍu,Noun,Person,This movie is for adults only.,ఈ సినిమా కేవలం వయోజనుల కోసం మాత్రమే.
33,advance,/ədˈvæns/,పురోగతి,/puroːɡati/,purōgati,Noun,Concept,There has been a significant advance in technology.,సాంకేతికతలో గణనీయమైన పురోగతి ఉంది.
34,advantage,/ədˈvæn.t̬ɪdʒ/,ప్రయోజనం,/prajoːdʒanaM/,prayōjanaṁ,Noun,Abstract,Being tall is an advantage in basketball.,బాస్కెట్‌బాల్‌లో పొడవుగా ఉండటం ఒక ప్రయోజనం.
35,advice,/ədˈvaɪs/,సలహా,/sa.la.haa/,salaha,Noun,Advice,Ask for advice.,సలహా అడుగు.
36,advise,/ədˈvaɪz/,సలహా ఇచ్చు,/salahaː itʃtʃu/,salahā iccu,Verb,Action > Communication,I advise you to be careful.,నేను మీకు జాగ్రత్తగా ఉండమని సలహా ఇస్తున్నాను.
37,affect,/əˈfɛkt/,ప్రభావితం చేయు,/prabʱaːʋitaM tʃeːju/,prabhāvitaṁ cēyu,Verb,Action > Influence,The weather can affect your mood.,వాతావరణం మీ మానసిక స్థితిని ప్రభావితం చేస్తుంది.
38,afford,/əˈfɔɹd/,భరించు,/bʱariɲtʃu/,bharin̄cu,Verb,Action > Finance,I cannot afford a new car right now.,నేను ఇప్పుడు కొత్త కారును భరించలేను.
39,afraid,/əˈfɹeɪd/,భయపడటం,/bʱajapaɖaʈaM/,bhayapaḍaṭaṁ,Adjective,Emotion,She is afraid of spiders.,ఆమె సాలెపురుగులకు భయపడుతుంది.
40,after,/ˈæf.tɚ/,తర్వాత,/taraːʋaːta/,tarāVāta,Preposition,Time,We will go home after the movie.,సినిమా తర్వాత మనం ఇంటికి వెళ్దాం.
41,afternoon,/ˌɑːf.təˈnuːn/,మధ్యాహ్నం,/mad.hyaa.hnam/,madhyahnam,Noun,Time,I sleep in the afternoon.,నేను మధ్యాహ్నం నిద్రపోతాను.
42,again,/əˈɡɛn/,మళ్ళీ,/maɭːiː/,maḷḷī,Adverb,Time,Please say that again.,దయచేసి మళ్ళీ చెప్పండి.
43,against,/əˈɡɛnst/,వ్యతిరేకంగా,/vjatireːkaŋɡaː/,vyatirēkaṅgā,Preposition,Relation,He voted against the proposal.,అతను ప్రతిపాదనకు వ్యతిరేకంగా ఓటు వేశాడు.
44,age,/eɪdʒ/,వయస్సు,/ʋajassu/,vayassu,Noun,Attribute,What is your age?,మీ వయస్సు ఎంత?
45,agency,/ˈeɪ.dʒən.si/,సంస్థ,/sanstʰa/,sanstha,Noun,Organization,He works for a government agency.,అతను ఒక ప్రభుత్వ సంస్థలో పనిచేస్తాడు.
46,agent,/ˈeɪ.dʒənt/,ప్రతినిధి,/pratinidʱi/,pratinidhi,Noun,Person > Role,She is a real estate agent.,ఆమె ఒక రియల్ ఎస్టేట్ ప్రతినిధి.
47,aggressive,/əˈɡɹɛs.ɪv/,దూకుడుగా,/duːkuɖuɡaː/,dūkuḍugā,Adjective,Behavior,He has an aggressive personality.,అతనికి దూకుడు స్వభావం ఉంది.
48,ago,/əˈɡoʊ/,క్రితం,/kritaM/,kritaṁ,Adverb,Time,I saw him a week ago.,నేను అతన్ని వారం క్రితం చూశాను.
49,agree,/əˈɡriː/,ఒప్పుకో,/op.pu.ko/,oppuko,Verb,Action,I agree with you.,నేను నీతో ఒప్పుకుంటున్నాను.
50,agreement,/əˈɡriː.mənt/,ఒప్పందం,/op.pan.da.m/,oppandam,Noun,Approval,Reach agreement.,ఒప్పందానికి రాను.
51,agriculture,/ˈæɡ.ɹɪˌkʌl.tʃɚ/,వ్యవసాయం,/vjaʋasaːjaM/,vyavasāyaṁ,Noun,Field,Agriculture is the backbone of our economy.,వ్యవసాయం మన ఆర్థిక వ్యవస్థకు వెన్నెముక.
52,ahead,/əˈhɛd/,ముందు,/mundu/,mundu,Adverb,Location,Go straight ahead.,నేరుగా ముందుకు వెళ్ళండి.
53,aid,/eɪd/,సహాయం,/sahaːjaM/,sahāyaṁ,Noun,Action,They sent aid to the victims.,వారు బాధితులకు సహాయం పంపారు.
54,aim,/eɪm/,లక్ష్యం,/lakʂjaM/,lakṣyaṁ,Noun,Goal,What is your aim in life?,జీవితంలో మీ లక్ష్యం ఏమిటి?
55,air,/eər/,గాలి,/gaa.li/,gaali,Noun,Nature,Air is needed.,గాలి అవసరం.
56,aircraft,/ˈɛɹ.kɹæft/,విమానం,/ʋimaːnaM/,vimānaṁ,Noun,Vehicle,The aircraft is ready for takeoff.,విమానం టేకాఫ్‌కు సిద్ధంగా ఉంది.
57,airline,/ˈɛɹ.laɪn/,విమానయాన సంస్థ,/ʋimaːnajaːna sanstʰa/,vimānayāna sanstha,Noun,Organization,Which airline are you flying with?,మీరు ఏ విమానయాన సంస్థతో ప్రయాణిస్తున్నారు?
58,airport,/ˈeəpɔːt/,విమానాశ్రయం,/vi.maa.naa.shra.yam/,vimaanashrayam,Noun,Place,The airport is busy.,విమానాశ్రయం రద్దీగా ఉంది.
59,alarm,/əˈlɑɹm/,హెచ్చరిక,/hetʃtʃarika/,heccarika,Noun,Signal,The fire alarm went off.,ఫైర్ అలారం మోగింది.
60,alcohol,/ˈæl.kə.hɔl/,మద్యం,/madjaM/,madyaṁ,Noun,Substance,He doesn't drink alcohol.,అతను మద్యం తాగడు.
61,alert,/əˈlɝt/,అప్రమత్తం,/apramattaM/,apramattaṁ,Adjective,State,The soldiers were on high alert.,సైనికులు అత్యంత అప్రమత్తంగా ఉన్నారు.
62,alias,/ˈeɪ.li.əs/,మారుపేరు,/maːrupeːru/,mārupēru,Noun,Name,The criminal used an alias.,ఆ నేరస్థుడు మారుపేరు ఉపయోగించాడు.
63,alien,/ˈeɪ.li.ən/,గ్రహాంతరవాసి,/ɡrahaːntaraʋaːsi/,grahāntaravāsi,Noun,Being,The movie is about an alien invasion.,ఆ సినిమా గ్రహాంతరవాసుల దాడి గురించి.
64,alike,/əˈlaɪk/,ఒకేలా,/okeːlaː/,okēlā,Adjective,Similarity,The two sisters look very alike.,ఆ ఇద్దరు అక్కాచెల్లెళ్లు ఒకేలా కనిపిస్తారు.
65,alive,/əˈlaɪv/,సజీవంగా,/sadʒiːʋaŋɡaː/,sajīvaṅgā,Adjective,State,Is the patient still alive?,రోగి ఇంకా సజీవంగా ఉన్నాడా?
66,all,/ɔːl/,అన్ని,/a.nni/,anni,Adjective,Quantity,All answers are correct.,అన్ని జవాబులు సరైనవే.
67,allow,/əˈlaʊ/,అనుమతించు,/anumatiɲtʃu/,anumatin̄cu,Verb,Action > Social,They don't allow smoking here.,వారు ఇక్కడ ధూమపానాన్ని అనుమతించరు.
68,almost,/ˈɔl.moʊst/,దాదాపు,/daːdaːpu/,dādāpu,Adverb,Degree,I am almost finished with my work.,నేను నా పనిని దాదాపు పూర్తి చేశాను.
69,alone,/əˈloʊn/,ఒంటరిగా,/oɳʈariɡaː/,oṇṭarigā,Adjective,State,He likes to be alone.,అతను ఒంటరిగా ఉండటానికి ఇష్టపడతాడు.
70,along,/əˈlɔŋ/,వెంబడి,/ʋembaɖi/,vembaḍi,Preposition,Location,We walked along the river.,మేము నది వెంబడి నడిచాము.
71,already,/ɔːlˈred.i/,ఇప్పటికే,/ip.pa.ti.kee/,ippatikee,Adverb,Time,Already finished.,ఇప్పటికే పూర్తయింది.
72,also,/ˈɔl.soʊ/,కూడా,/kuːɖaː/,kūḍā,Adverb,Conjunction,"I like tea, and I also like coffee.","నాకు టీ ఇష్టం, మరియు నాకు కాఫీ కూడా ఇష్టం."
73,alter,/ˈɔl.tɚ/,మార్చు,/maːrtʃu/,mārcu,Verb,Action > Change,We had to alter our plans.,మేము మా ప్రణాళికలను మార్చుకోవలసి వచ్చింది.
74,alternative,/ɔlˈtɝ.nə.t̬ɪv/,ప్రత్యామ్నాయం,/pratjaːmnaːjaM/,pratyāmnāyaṁ,Noun,Concept,Is there an alternative solution?,ప్రత్యామ్నాయ పరిష్కారం ఉందా?
75,although,/ɔlˈðoʊ/,అయినప్పటికీ,/ainappaʈikiː/,ainappaṭikī,Conjunction,Relation,"Although it was raining, we went out.","వర్షం పడుతున్నప్పటికీ, మేము బయటకు వెళ్ళాము."
76,always,/ˈɔːlwɛɪz/,ఎప్పుడూ,/e.pu.du/,eppudu,Adverb,Frequency,Always speak truth.,ఎప్పుడూ నిజం చెప్పు.
77,amateur,/ˈæm.ə.tʃɚ/,ఔత్సాహిక,/autsaːhika/,autsāhika,Noun,Person > Role,He is an amateur photographer.,అతను ఒక ఔత్సాహిక ఫోటోగ్రాఫర్.
78,amazing,/əˈmeɪ.zɪŋ/,అద్భుతమైన,/adʱbʱutamaina/,adbhutamaina,Adjective,Quality,The view from the top was amazing.,పై నుండి దృశ్యం అద్భుతంగా ఉంది.
79,ambassador,/æmˈbæs.ə.dɚ/,రాయబారి,/raːjabaːri/,rāyabāri,Noun,Person > Role,He was appointed as the ambassador to Japan.,అతను జపాన్‌కు రాయబారిగా నియమితులయ్యారు.
80,ambition,/æmˈbɪʃ.ən/,ఆశయం,/aːɕajaM/,āśayaṁ,Noun,Goal,Her ambition is to become a doctor.,ఆమె ఆశయం డాక్టర్ అవ్వడం.
81,amino,/əˈmiː.noʊ/,అమైనో,/amainoː/,amainō,Noun,Science > Chemistry,Amino acids are the building blocks of proteins.,అమైనో ఆమ్లాలు ప్రోటీన్ల నిర్మాణ భాగాలు.
82,among,/əˈmʌŋ/,మధ్యలో/లోపల,/mad.ya.lolo.pa.la/,madhyalo/lopala,Preposition,Place,He is among friends.,అతను స్నేహితులతో మధ్యలో ఉన్నాడు.
83,amount,/əˈmaʊnt/,మొత్తం,/mot.tam/,mottam,Noun,Finance,Check the amount.,మొత్తం చూడండి.
84,analysis,/əˈnæl.ə.sɪs/,విశ్లేషణ,/ʋiɕleːʂaɳa/,viślēṣaṇa,Noun,Process,The data analysis revealed a new trend.,డేటా విశ్లేషణ ఒక కొత్త ధోరణిని వెల్లడించింది.
85,analyze,/ˈæn.ə.laɪz/,విశ్లేషించు,/ʋiɕleːʂiɲtʃu/,viślēṣin̄cu,Verb,Action > Cognitive,We need to analyze the results carefully.,మనం ఫలితాలను జాగ్రత్తగా విశ్లేషించాలి.
86,ancient,/ˈeɪn.ʃənt/,ప్రాచీన,/praːtʃiːna/,prācīna,Adjective,Time,We visited the ancient ruins.,మేము ప్రాచీన శిథిలాలను సందర్శించాము.
87,and,/ænd/,మరియు,/mariju/,mariyu,Conjunction,Conjunction,He is tall and strong.,అతను పొడవుగా మరియు బలంగా ఉన్నాడు.
88,angel,/ˈeɪn.dʒəl/,దేవదూత,/deːʋaduːta/,dēvadūta,Noun,Being,She has a voice like an angel.,ఆమెకు దేవదూత లాంటి స్వరం ఉంది.
89,anger,/ˈæŋ.ɡɚ/,కోపం,/koːpaM/,kōpaṁ,Noun,Emotion,He could not control his anger.,అతను తన కోపాన్ని నియంత్రించుకోలేకపోయాడు.
90,angle,/ˈæŋ.ɡəl/,కోణం,/koːɳaM/,kōṇaṁ,Noun,Geometry,A right angle is 90 degrees.,లంబ కోణం 90 డిగ్రీలు.
91,angry,/ˈæŋ.ɡri/,కోపం,/ko.pam/,kopam,Adjective,Emotion,Don't be angry.,కోపంగా ఉండకు.
92,animal,/ˈæn.ə.məl/,జంతువు,/dʒantuʋu/,jantuvu,Noun,Being,The lion is a wild animal.,సింహం ఒక వన్య జంతువు.
93,ankle,/ˈæŋ.kəl/,చీలమండ,/tʃiːlamaɳɖa/,cīlamaṇḍa,Noun,Body Part,I twisted my ankle while playing.,ఆడుతున్నప్పుడు నా చీలమండ బెణికింది.
94,annex,/ˈæn.ɛks/,అనుబంధం,/anubandʱaM/,anubandhaṁ,Noun,Document,The details are in the annex.,వివరాలు అనుబంధంలో ఉన్నాయి.
95,anniversary,/ˌæn.əˈvɝ.sə.ɹi/,వార్షికోత్సవం,/ʋaːrʂikoːtsaʋaM/,vārṣikōtsavaṁ,Noun,Event,Today is our wedding anniversary.,ఈ రోజు మా పెళ్లి వార్షికోత్సవం.
96,announce,/əˈnaʊns/,ప్రకటించు,/prakaʈiɲtʃu/,prakaṭin̄cu,Verb,Action > Communication,They will announce the winner soon.,వారు త్వరలో విజేతను ప్రకటిస్తారు.
97,announcement,/əˈnaʊns.mənt/,ప్రకటన,/pra.ka.ta.na/,prakatana,Noun,Public,Make an announcement.,ప్రకటన చేయండి.
98,annoy,/əˈnɔɪ/,విసిగించు,/ʋisiɡiɲtʃu/,visigin̄cu,Verb,Action > Social,Please don't annoy me.,దయచేసి నన్ను విసిగించవద్దు.
99,annual,/ˈæn.ju.əl/,వార్షిక,/ʋaːrʂika/,vārṣika,Adjective,Time,The company holds an annual meeting.,కంపెనీ వార్షిక సమావేశాన్ని నిర్వహిస్తుంది.
100,anode,/ˈæn.oʊd/,ఆనోడ్,/aːnoːɖ/,ānōḍ,Noun,Science > Physics,The anode is the positive electrode.,ఆనోడ్ ధన ఎలక్ట్రోడ్.
101,another,/əˈnʌð.ɚ/,మరొక,/maroka/,maroka,Determiner,Quantity,Can I have another cup of tea?,నేను మరొక కప్పు టీ తాగవచ్చా?
102,answer,/ˈæn.sər/,సమాధానం,/sa.maa.dhaa.nam/,samaadhanam,Noun,Communication,Give an answer.,సమాధానం చెప్పు.
103,anticipate,/ænˈtɪs.ə.peɪt/,ఊహించు,/uːhiɲtʃu/,ūhin̄cu,Verb,Action > Cognitive,We anticipate a large crowd.,మేము పెద్ద జనసమూహాన్ని ఊహిస్తున్నాము.
104,anxiety,/æŋˈzaɪ.ə.t̬i/,ఆందోళన,/aːndoːɭana/,āndōḷana,Noun,Emotion,He suffers from anxiety.,అతను ఆందోళనతో బాధపడుతున్నాడు.
105,anxious,/ˈæŋk.ʃəs/,ఆత్రుతగా,/aːtrutaɡaː/,ātrutagā,Adjective,Emotion,I am anxious to know the results.,నేను ఫలితాలను తెలుసుకోవడానికి ఆత్రుతగా ఉన్నాను.
106,any,/ˈɛn.i/,ఏదైనా,/eːdainаː/,ēdainā,Determiner,Quantity,Do you have any questions?,మీకు ఏమైనా ప్రశ్నలు ఉన్నాయా?
107,anybody,/ˈɛn.iˌbɑ.di/,ఎవరైనా,/eʋarainаː/,evarainā,Pronoun,Pronoun > Indefinite,Is anybody home?,ఇంట్లో ఎవరైనా ఉన్నారా?
108,anyone,/ˈɛn.i.wʌn/,ఎవరైనా,/eʋarainаː/,evarainā,Pronoun,Pronoun > Indefinite,Can anyone help me?,ఎవరైనా నాకు సహాయం చేయగలరా?
109,anything,/ˈɛn.i.θɪŋ/,ఏదైనా,/eːdainаː/,ēdainā,Pronoun,Pronoun > Indefinite,Is there anything I can do?,నేను చేయగలిగింది ఏదైనా ఉందా?
110,anywhere,/ˈɛn.i.wɛɹ/,ఎక్కడైనా,/ekkaɖainаː/,ekkaḍainā,Adverb,Location,You can sit anywhere you like.,మీకు నచ్చిన చోట ఎక్కడైనా కూర్చోవచ్చు.
111,apart,/əˈpɑɹt/,విడిగా,/ʋiɖiɡaː/,viḍigā,Adverb,Manner,They live apart from each other.,వారు ఒకరికొకరు విడిగా నివసిస్తున్నారు.
112,apology,/əˈpɑl.ə.dʒi/,క్షమాపణ,/kʂamaːpaɳa/,kṣamāpaṇa,Noun,Communication,He offered a sincere apology.,అతను హృదయపూర్వక క్షమాపణ చెప్పాడు.
113,apparatus,/ˌæp.əˈɹæt.əs/,పరికరం,/parikaraM/,parikaraṁ,Noun,Object,The laboratory is full of scientific apparatus.,ప్రయోగశాల శాస్త్రీయ పరికరాలతో నిండి ఉంది.
114,apparel,/əˈpæɹ.əl/,దుస్తులు,/dustulu/,dustulu,Noun,Object,The store sells women's apparel.,ఆ దుకాణంలో మహిళల దుస్తులు అమ్ముతారు.
115,apparent,/əˈpæɹ.ənt/,స్పష్టమైన,/spaʂʈamaina/,spaṣṭamaina,Adjective,Quality,It was apparent that he was lying.,అతను అబద్ధం చెబుతున్నాడని స్పష్టంగా தெரிந்தது.
116,appeal,/əˈpiːl/,విజ్ఞప్తి,/ʋidʒɲapti/,vijñapti,Noun,Communication,They made an appeal for donations.,వారు విరాళాల కోసం విజ్ఞప్తి చేశారు.
117,appear,/əˈpɪɹ/,కనిపించు,/kanipiɲtʃu/,kanipin̄cu,Verb,Action > Perception,A ship appeared on the horizon.,హోరిజోన్‌లో ఒక ఓడ కనిపించింది.
118,appearance,/əˈpɪɹ.əns/,స్వరూపం,/sʋaruːpaM/,svarūpaṁ,Noun,Attribute,He has a neat appearance.,అతనికి చక్కని స్వరూపం ఉంది.
119,appetite,/ˈæp.ə.taɪt/,ఆకలి,/aːkali/,ākali,Noun,Sensation,Exercise gives you a good appetite.,వ్యాయామం మీకు మంచి ఆకలిని ఇస్తుంది.
120,applaud,/əˈplɔd/,ప్రశంసించు,/praɕansiɲtʃu/,praśan̄sin̄cu,Verb,Action > Social,The audience applauded the performance.,ప్రేక్షకులు ప్రదర్శనను ప్రశంసించారు.
121,apple,/ˈæp.əl/,ఆపిల్,/aːpil/,āpil,Noun,Food,An apple a day keeps the doctor away.,రోజుకు ఒక ఆపిల్ డాక్టర్‌ను దూరంగా ఉంచుతుంది.
122,application,/ˌæp.lɪˈkeɪ.ʃən/,దరఖాస్తు,/da.ra.khaa.stu/,darakhaastu,Noun,Education,Submit the application.,దరఖాస్తు సమర్పించు.
123,apply,/əˈplaɪ/,దరఖాస్తు చేయు,/darakʰaːstu tʃeːju/,darakhāstu cēyu,Verb,Action > Process,I want to apply for the job.,నేను ఉద్యోగానికి దరఖాస్తు చేయాలనుకుంటున్నాను.
124,appoint,/əˈpɔɪnt/,నియమించు,/nijamiɲtʃu/,niyamin̄cu,Verb,Action > Social,They will appoint a new manager.,వారు కొత్త మేనేజర్‌ను నియమిస్తారు.
125,appointment,/əˈpɔɪnt.mənt/,నియామకం,/nijaːmakaM/,niyāmakaṁ,Noun,Event,I have a doctor's appointment at 10 AM.,నాకు ఉదయం 10 గంటలకు డాక్టర్ అపాయింట్‌మెంట్ ఉంది.
126,appreciate,/əˈpɹiː.ʃi.eɪt/,అభినందించు,/abʱinandiɲtʃu/,abhinandin̄cu,Verb,Action > Social,I really appreciate your help.,నేను మీ సహాయాన్ని నిజంగా అభినందిస్తున్నాను.
127,appreciation,/əˌpɹiː.ʃiˈeɪ.ʃən/,ప్రశంస,/praɕansa/,praśan̄sa,Noun,Emotion,He showed his appreciation with a gift.,అతను బహుమతితో తన ప్రశంసను చూపించాడు.
128,apprentice,/əˈpɹɛn.tɪs/,శిష్యుడు,/ɕiʂjuɖu/,śiṣyuḍu,Noun,Person > Role,He is working as an apprentice electrician.,అతను ఒక శిష్యుడు ఎలక్ట్రీషియన్‌గా పనిచేస్తున్నాడు.
129,approach,/əˈpɹoʊtʃ/,విధానం,/ʋidʱaːnaM/,vidhānaṁ,Noun,Method,We need a new approach to the problem.,మనకు సమస్యకు కొత్త విధానం కావాలి.
130,appropriate,/əˈpɹoʊ.pɹi.ət/,తగిన,/taɡina/,tagina,Adjective,Quality,Please wear appropriate clothing for the event.,దయచేసి కార్యక్రమానికి తగిన దుస్తులు ధరించండి.
131,approval,/əˈpruː.vəl/,అనుమతి,/anu.ma.ti/,anumati,Noun,Approval,Give your approval.,అనుమతి ఇవ్వండి.
132,approve,/əˈpɹuːv/,ఆమోదించు,/aːmoːdiɲtʃu/,āmōdin̄cu,Verb,Action > Social,The committee approved the budget.,కమిటీ బడ్జెట్‌ను ఆమోదించింది.
133,approximate,/əˈpɹɑk.sə.mət/,సుమారు,/sumaːru/,sumāru,Adjective,Quantity,What is the approximate cost?,సుమారు ఖర్చు ఎంత?
134,April,/ˈeɪ.pɹəl/,ఏప్రిల్,/eːpril/,ēpril,Proper Noun,Time > Month,Her birthday is in April.,ఆమె పుట్టినరోజు ఏప్రిల్ లో ఉంది.
135,arbitrary,/ˈɑɹ.bɪ.tɹɛɹ.i/,ఏకపక్ష,/eːkapakʂa/,ēkapakṣa,Adjective,Quality,The decision was arbitrary and unfair.,ఆ నిర్ణయం ఏకపక్షంగా మరియు అన్యాయంగా ఉంది.
136,arc,/ɑɹk/,చాపం,/tʃaːpaM/,cāpaṁ,Noun,Geometry,The rainbow formed a perfect arc.,ఇంద్రధనస్సు ఒక పరిపూర్ణ చాపంను ఏర్పాటు చేసింది.
137,arch,/ɑɹtʃ/,వంపు,/ʋampu/,vampu,Noun,Shape,The bridge has a beautiful arch.,వంతెనకు ఒక అందమైన వంపు ఉంది.
138,architect,/ˈɑɹ.kɪ.tɛkt/,వాస్తుశిల్పి,/ʋaːstuɕilpi/,vāstuśilpi,Noun,Person > Role,He is a famous architect.,అతను ఒక ప్రసిద్ధ వాస్తుశిల్పి.
139,architecture,/ˈɑɹ.kɪˌtɛk.tʃɚ/,వాస్తుశిల్పం,/ʋaːstuɕilpaM/,vāstuśilpaṁ,Noun,Field,I admire ancient Roman architecture.,నేను ప్రాచీన రోమన్ వాస్తుశిల్పాన్ని ఆరాధిస్తాను.
140,archive,/ˈɑɹ.kaɪv/,పత్రాలయం,/patraːlajaM/,patrālayaṁ,Noun,Place > Storage,The historical documents are kept in the archive.,చారిత్రక పత్రాలు పత్రాలయంలో ఉంచబడ్డాయి.
141,arctic,/ˈɑɹk.tɪk/,ఆర్కిటిక్,/aːrkiʈik/,ārkiṭik,Adjective,Location,Polar bears live in the Arctic region.,ధ్రువపు ఎలుగుబంట్లు ఆర్కిటిక్ ప్రాంతంలో నివసిస్తాయి.
142,are,/ɑɹ/,ఉన్నారు,/unnaːru/,unnāru,Verb,Verb > Be,They are my friends.,వారు నా స్నేహితులు.
