Category,Difficulty,Question Text,Option A,Option B,Option C,Option D,Correct Answer (Letter),Explanation / Notes
Vocabulary,Easy,What is the comparative form of the adjective **'happy'**?,happier,happiest,more happy,happyer,A,The comparative form is 'happier'.
Vocabulary,Medium,What does **'fastidious'** mean?,Easy to please,Very attentive to detail,Careless,Quick to anger,B,Fastidious' means very attentive to and concerned about accuracy and detail.
Vocabulary,Hard,What is the antonym of **'deleterious'**?,Beneficial,Harmful,Damaging,Toxic,A,Deleterious' means causing harm or damage; 'beneficial' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'speak'**?,Listen,Hear,Talk,Look,C,Talk' means to speak in order to give information or express ideas; synonymous with speak.
Vocabulary,Medium,Find the synonym for **'amalgamate'**.,Separate,Divide,Combine,Exclude,C,Amalgamate' means to combine or unite to form one organization or structure.
Vocabulary,Hard,What does **'obfuscate'** mean?,Clarify,Simplify,Confuse,Explain,C,"Obfuscate' means to make something obscure, unclear, or unintelligible; synonymous with confuse."
Vocabulary,Easy,What is the plural form of the word **'wolf'**?,wolfs,wolves,wolfies,wolfen,B,Wolves' is the irregular plural form.
Vocabulary,Medium,The word **'nefarious'** means:,Good,Wicked,Funny,Kind,B,"Nefarious' means typically of an action or activity, wicked or criminal."
Vocabulary,Hard,Find the antonym for **'garrulous'**?,Talkative,Silent,Loud,Friendly,B,"Garrulous' means excessively talkative, especially on trivial matters; 'silent' is the antonym."
Vocabulary,Easy,The opposite of **'cheap'** is:,Affordable,Inexpensive,Expensive,Low-cost,C,Expensive' is the antonym of 'cheap'.
Vocabulary,Medium,What does **'mitigate'** mean?,Intensify,Worsen,Lessen,Increase,C,"Mitigate' means to make something less severe, serious, or painful."
Vocabulary,Hard,A **'lugubrious'** expression is:,Joyful,Mournful,Angry,Excited,B,"Lugubrious' means looking or sounding sad and dismal, often to an exaggerated degree."
Vocabulary,Easy,What is the past tense of the verb **'write'**?,writed,wrote,written,writing,B,Wrote' is the simple past tense of 'write'.
Vocabulary,Hard,What does **'inscrutable'** mean?,Easy to understand,Mysterious,Clear,Obvious,B,Inscrutable' means impossible to understand or interpret.
Vocabulary,Easy,Which word is a synonym for **'end'**?,Start,Middle,Finish,Go,C,Finish' means to complete an activity or period of time; synonymous with end.
Vocabulary,Medium,The opposite of **'transitory'** is:,Temporary,Momentary,Lasting,Moving,C,Transitory' means temporary; 'lasting' is the antonym.
Vocabulary,Hard,What is the antonym of **'veracity'**?,Truthfulness,Honesty,Deceit,Accuracy,C,Veracity' means accuracy or truthfulness; 'deceit' is the antonym.
Vocabulary,Easy,What is the superlative form of the adjective **'bad'**?,badder,worse,worst,most bad,C,The superlative form is 'worst'.
Vocabulary,Medium,What does **'cogent'** mean?,Weak,Unconvincing,Clear and logical,Emotional,C,"Cogent' means clear, logical, and convincing."
Vocabulary,Hard,Find the synonym for **'specious'**.,Genuine,Misleading,Sincere,Truthful,B,Specious' means seemingly plausible but actually wrong; misleadingly attractive.
Vocabulary,Easy,The opposite of **'full'** is:,Empty,Packed,Crowded,Loaded,A,Empty' is the antonym of 'full'.
Vocabulary,Medium,The word **'dearth'** means:,Abundance,Lack,Excess,Wealth,B,Dearth' means a scarcity or lack of something.
Vocabulary,Hard,What does **'ignominious'** mean?,Honorable,Shameful,Famous,Successful,B,Ignominious' means deserving or causing public disgrace or shame.
Vocabulary,Easy,What is the past participle of **'eat'**?,eated,ate,eaten,eating,C,Eaten' is the past participle of 'eat'.
Vocabulary,Medium,Find the synonym for **'impeccable'**.,Flawed,Perfect,Dirty,Faulty,B,Impeccable' means in accordance with the highest standards of propriety; faultless/perfect.
Vocabulary,Hard,What is the antonym of **'replete'**?,Full,Empty,Crowded,Abundant,B,Replete' means fully supplied or filled; 'empty' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'begin'**?,Stop,End,Start,Pause,C,Start' means to begin or take the first step in a course of action; synonymous with begin.
Vocabulary,Medium,The word **'auspicious'** means:,Unfavorable,Favorable,Neutral,Accidental,B,Auspicious' means conducive to success; favorable.
Vocabulary,Hard,Find the synonym for **'diffident'**.,Confident,Shy,Bold,Arrogant,B,Diffident' means modest or shy because of a lack of self-confidence.
Vocabulary,Easy,What is the noun form of the verb **'know'**?,knowing,known,knowledge,knowable,C,Knowledge' is the noun form.
Vocabulary,Medium,What does **'juxtapose'** mean?,Separate,Place close together for contrasting effect,Mix together,Hide,B,Juxtapose' means to place or deal with close together for contrasting effect.
Vocabulary,Hard,What is the antonym of **'sedulous'**?,Diligent,Careful,Lazy,Attentive,C,Sedulous' means showing dedication and diligence; 'lazy' is the antonym.
Vocabulary,Easy,The opposite of **'up'** is:,Above,Down,Over,Under,B,Down' is the antonym of 'up'.
Vocabulary,Medium,The word **'culminate'** means:,Begin,Reach the highest point,Decline,End abruptly,B,Culminate' means reach a climax or point of highest development.
Vocabulary,Hard,Find the synonym for **'obsequious'**.,Dominating,Servile,Angry,Honest,B,Obsequious' means obedient or attentive to an excessive or servile degree.
Vocabulary,Easy,What is the plural form of the word **'person'**?,persons,people,peoples,persones,B,People' is the irregular plural form of 'person'.
Vocabulary,Medium,What does **'acumen'** mean?,Stupidity,Inability,Sharpness of mind,Laziness,C,"Acumen' means the ability to make good judgments and quick decisions, typically in a particular domain."
Vocabulary,Hard,The opposite of **'reticent'** is:,Quiet,Reserved,Talkative,Shy,C,Reticent' means reserved or restrained; 'talkative' is the opposite.
Vocabulary,Easy,Which word is a synonym for **'nice'**?,Mean,Pleasant,Rude,Unkind,B,Pleasant' means giving a sense of happy satisfaction or enjoyment; synonymous with nice.
Vocabulary,Medium,Find the synonym for **'sardonic'**.,Sincere,Mocking,Friendly,Serious,B,Sardonic' means grimly mocking or cynical.
Vocabulary,Hard,What does **'deleterious'** mean?,Beneficial,Harmless,Harmful,Helpful,C,Deleterious' means causing harm or damage.
Vocabulary,Medium,The word **'parochial'** means:,Broad-minded,Narrowly restricted in scope or outlook,Global,Tolerant,B,Parochial' means having a limited or narrow outlook or scope.
Vocabulary,Hard,What is the antonym of **'reprobate'**?,Scoundrel,Virtuous person,Criminal,Wretch,B,A 'reprobate' is an unprincipled person; a 'virtuous person' is the antonym.
Vocabulary,Easy,What is the past tense of the verb **'take'**?,taked,took,taken,taking,B,Took' is the simple past tense of 'take'.
Vocabulary,Medium,Find the synonym for **'tacit'**.,Explicit,Stated,Understood without being openly expressed,Loud,C,Tacit' means understood or implied without being stated.
Vocabulary,Hard,What does **'mendicant'** mean?,A rich person,A beggar,A doctor,A teacher,B,A 'mendicant' is a beggar or someone who lives by begging.
Vocabulary,Easy,The opposite of **'always'** is:,Often,Never,Sometimes,Rarely,B,Never' is the antonym of 'always'.
Vocabulary,Medium,The word **'chicanery'** means:,Honesty,Honorable conduct,Deception or trickery,Friendship,C,"Chicanery' means the use of trickery to achieve a political, financial, or legal purpose."
Vocabulary,Hard,Find the synonym for **'pusillanimous'**.,Brave,Cowardly,Strong,Aggressive,B,Pusillanimous' means showing a lack of courage or determination; synonymous with cowardly.
Vocabulary,Easy,What is the superlative form of the adjective **'old'**?,older,oldest,more old,oldier,B,The superlative form is 'oldest'.
Vocabulary,Medium,What does **'ignoble'** mean?,Honorable,Noble,Dishonorable,Famous,C,Ignoble' means not noble; dishonorable.
Vocabulary,Hard,What is the antonym of **'vociferous'**?,Loud,Boisterous,Quiet,Energetic,C,Vociferous' means vehemently expressing feelings; 'quiet' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'sad'**?,Cheerful,Unhappy,Excited,Calm,B,Unhappy' means not happy; synonymous with sad.
Vocabulary,Medium,Find the synonym for **'irrevocable'**.,Reversible,Changeable,Final,Temporary,C,"Irrevocable' means not able to be changed, reversed, or recovered; final."
Vocabulary,Hard,What does **'quixotic'** mean?,Practical,Realistic,Exceedingly idealistic; unrealistic,Dull,C,Quixotic' means exceedingly idealistic; unrealistic and impractical.
Vocabulary,Easy,What is the plural form of the word **'focus'**?,focuses,foci,focuss,focuses or foci,D,Both 'focuses' and 'foci' are accepted plural forms.
Vocabulary,Medium,The word **'surreptitious'** means:,Open,Secret,Loud,Obvious,B,"Surreptitious' means kept secret, especially because it would not be approved of."
Vocabulary,Hard,Find the synonym for **'assiduous'**.,Lazy,Hardworking,Careless,Slow,B,Assiduous' means showing great care and perseverance; synonymous with hardworking.
Vocabulary,Easy,The opposite of **'outside'** is:,Above,Below,Inside,Near,C,Inside' is the antonym of 'outside'.
Vocabulary,Medium,What does **'inundate'** mean?,Drain,Flood,Dry,Empty,B,Inundate' means to overwhelm or flood.
Vocabulary,Hard,A **'nonchalant'** attitude is:,Excited,Anxious,Calm and unconcerned,Aggressive,C,Nonchalant' means feeling or appearing casually calm and relaxed; unconcerned.
Vocabulary,Easy,What is the noun form of the verb **'explain'**?,explaining,explaination,explanation,explained,C,Explanation' is the noun form.
Vocabulary,Medium,Find the synonym for **'ubiquitous'**.,Rare,Everywhere,Scarce,Hidden,B,"Ubiquitous' means present, appearing, or found everywhere."
Vocabulary,Hard,What is the antonym of **'perfidious'**?,Faithful,Deceitful,Treacherous,Disloyal,A,Perfidious' means deceitful and untrustworthy; 'faithful' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'idea'**?,Fact,Thought,Object,Place,B,Thought' means an idea or opinion produced by thinking.
Vocabulary,Medium,The word **'gregarious'** means:,Shy,Quiet,Sociable,Rude,C,Gregarious' means fond of company; sociable.
Vocabulary,Hard,What does **'epicure'** refer to?,A health expert,A person devoted to sensual enjoyment,A strict disciplinarian,A philosopher,B,"An 'epicure' is a person devoted to sensual enjoyment, especially that derived from fine food and drink."
Vocabulary,Easy,What is the past tense of the verb **'know'**?,knew,knowed,known,knows,A,Knew' is the simple past tense of 'know'.
Vocabulary,Medium,Find the synonym for **'precarious'**.,Safe,Secure,Unstable,Stable,C,Precarious' means not securely held or in position; dangerously unstable.
Vocabulary,Hard,What does **'exigent'** mean?,Unimportant,Trivial,Pressing; demanding,Easygoing,C,Exigent' means pressing; demanding.
Vocabulary,Easy,The opposite of **'difficult'** is:,Hard,Challenging,Easy,Complex,C,Easy' is the antonym of 'difficult'.
Vocabulary,Medium,The word **'rancor'** means:,Goodwill,Friendliness,Bitterness or resentfulness,Happiness,C,"Rancor' means bitterness or resentfulness, especially long-standing."
Vocabulary,Hard,What is the antonym of **'ameliorate'**?,Improve,Worsen,Fix,Help,B,Ameliorate' means to make something better; 'worsen' is the antonym.
Vocabulary,Easy,What is the past participle of **'sing'**?,sang,sung,singed,singing,B,Sung' is the past participle of 'sing'.
Vocabulary,Medium,Find the synonym for **'transient'**.,Permanent,Temporary,Lasting,Eternal,B,Transient' means lasting only for a short time; synonymous with temporary.
Vocabulary,Hard,What does **'inchoate'** mean?,Fully developed,Rudimentary,Perfect,Finished,B,Inchoate' means not fully formed or developed; rudimentary.
Vocabulary,Easy,Which word is a synonym for **'strong'**?,Weak,Powerful,Fragile,Soft,B,Powerful' means having great power or strength; synonymous with strong.
Vocabulary,Medium,The word **'adroit'** means:,Clumsy,Skillful,Awkward,Slow,B,Adroit' means clever or skillful in using the hands or mind.
Vocabulary,Hard,Find the antonym for **'obdurate'**?,Stubborn,Yielding,Firm,Unwavering,B,Obdurate' means stubbornly refusing to change one's opinion; 'yielding' is the antonym.
Vocabulary,Easy,What is the noun form of the adjective **'free'**?,freely,freedom,freer,freeing,B,Freedom' is the noun form.
Vocabulary,Medium,What does **'callous'** mean?,Sensitive,Uncaring,Kind,Tender,B,Callous' means showing an insensitive and cruel disregard for others.
Vocabulary,Hard,A **'redolent'** smell is:,Odorless,Fragrant,Unpleasant,Mild,B,Redolent' means strongly reminiscent or suggestive of something; fragrant.
Vocabulary,Easy,The opposite of **'open'** is:,Wide,Close,Start,Door,B,Close' is the antonym of 'open'.
Vocabulary,Medium,The word **'prodigious'** means:,Small,Average,Enormous,Weak,C,"Prodigious' means remarkably or impressively great in extent, size, or degree; enormous."
Vocabulary,Hard,Find the synonym for **'puerile'**.,Mature,Childish,Serious,Adult,B,Puerile' means childishly silly and trivial.
Vocabulary,Easy,What is the plural form of the word **'knife'**?,knifes,knives,knifees,knifez,B,Knives' is the irregular plural form.
Vocabulary,Medium,What does **'eschew'** mean?,Embrace,Avoid,Welcome,Seek,B,Eschew' means deliberately avoid using; abstain from.
Vocabulary,Hard,What is the antonym of **'reprobation'**?,Disapproval,Condemnation,Approval,Censure,C,Reprobation' means strong disapproval; 'approval' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'true'**?,FALSE,Fake,Correct,Wrong,C,Correct' means free from error; synonymous with true.
Vocabulary,Medium,Find the synonym for **'mitigate'**.,Aggravate,Worsen,Alleviate,Increase,C,"Mitigate' means to make less severe, serious, or painful; synonymous with alleviate."
Vocabulary,Hard,The word **'soporific'** means:,Awakening,Energizing,Tending to induce drowsiness or sleep,Exciting,C,Soporific' means tending to induce drowsiness or sleep.
Vocabulary,Medium,The word **'insidious'** means:,Harmless,Proceeding in a gradual, subtle way,Obvious,Swift,B
Vocabulary,Hard,What is the antonym of **'mercurial'**?,Stable,Volatile,Changing,Erratic,A,Mercurial' means subject to sudden or unpredictable changes; 'stable' is the opposite.
Vocabulary,Easy,Which word is a synonym for **'allow'**?,Forbid,Permit,Stop,Delay,B,Permit' means to give authorization or consent; synonymous with allow.
Vocabulary,Medium,Find the synonym for **'gregarious'**.,Quiet,Aloof,Sociable,Rude,C,Gregarious' means fond of company; sociable.
Vocabulary,Hard,What does **'churlish'** mean?,Polite,Gracious,Rude and mean-spirited,Friendly,C,Churlish' means rude in a mean-spirited and surly way.
Vocabulary,Medium,The word **'deleterious'** means:,Helpful,Harmful,Beneficial,Neutral,B,Deleterious' means causing harm or damage.
Vocabulary,Hard,Find the synonym for **'probity'**.,Dishonesty,Integrity,Corruption,Doubt,B,Probity' means the quality of having strong moral principles; honesty and decency (integrity).
Vocabulary,Easy,What is the plural form of the word **'shelf'**?,shelfs,shelves,shelfes,sheles,B,Shelves' is the irregular plural form.
Vocabulary,Medium,What does **'plethora'** mean?,Scarcity,Lack,Excess,Shortage,C,Plethora' means a large or excessive amount of something.
Vocabulary,Hard,What is the antonym of **'inculcate'**?,Instill,Erase,Teach,Impart,B,Inculcate' means to instill an idea or attitude; 'erase' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'small'**?,Big,Large,Tiny,Huge,C,Tiny' means extremely small; synonymous with small.
Vocabulary,Hard,What does **'salutary'** mean?,Harmful,Detrimental,Beneficial,Injurious,C,Salutary' means producing good effects; beneficial.
Vocabulary,Easy,What is the past tense of the verb **'sleep'**?,sleeped,slept,sleepen,sleeping,B,Slept' is the simple past tense of 'sleep'.
Vocabulary,Medium,The word **'ephemeral'** means:,Lasting,Permanent,Fleeting,Eternal,C,Ephemeral' means lasting for a very short time; fleeting.
Vocabulary,Hard,Find the antonym for **'languid'**?,Weak,Listless,Energetic,Slow,C,"Languid' means slow and relaxed, lacking in spirit; 'energetic' is the opposite."
Vocabulary,Easy,The opposite of **'before'** is:,Early,After,Next,Past,B,After' is the antonym of 'before'.
Vocabulary,Medium,What does **'sardonic'** mean?,Sincere,Friendly,Mocking or cynical,Serious,C,Sardonic' means grimly mocking or cynical.
Vocabulary,Hard,A **'pusillanimous'** person is:,Brave,Courageous,Cowardly,Bold,C,Pusillanimous' means showing a lack of courage or determination; cowardly.
Vocabulary,Easy,What is the adjective form of the noun **'friend'**?,friendship,friendly,friending,friendless,B,Friendly' is the adjective form.
Vocabulary,Medium,Find the synonym for **'ameliorate'**.,Worsen,Improve,Aggravate,Hinder,B,Ameliorate' means to make something better; synonymous with improve.
Vocabulary,Hard,What does **'neophyte'** refer to?,Expert,Veteran,Beginner,Master,C,"A 'neophyte' is a person who is new to a subject, skill, or belief; a beginner."
Vocabulary,Medium,The word **'alacrity'** means:,Slowness,Eagerness,Reluctance,Hesitation,B,Alacrity' means brisk and cheerful readiness; eagerness.
Vocabulary,Hard,What is the antonym of **'redoubtable'**?,Formidable,Awe-inspiring,Ordinary,Powerful,C,Redoubtable' means formidable or deserving great respect; 'ordinary' is the antonym.
Vocabulary,Easy,What is the plural form of **'tooth'**?,toothes,teeths,toothies,teeth,D,Teeth' is the irregular plural form.
Vocabulary,Medium,What does **'transitory'** mean?,Permanent,Temporary,Lasting,Enduring,B,Transitory' means lasting only for a short time; temporary.
Vocabulary,Hard,Find the synonym for **'capricious'**.,Stable,Predictable,Fickle,Consistent,C,"Capricious' means given to sudden, unaccountable changes of mood; fickle."
Vocabulary,Easy,The opposite of **'near'** is:,Close,Far,Beside,With,B,Far' is the antonym of 'near'.
Vocabulary,Medium,The word **'expedient'** means:,Inconvenient,Convenient or practical,Unwise,Difficult,B,"Expedient' means convenient and practical, although possibly improper or immoral."
Vocabulary,Hard,What is the antonym of **'craven'**?,Cowardly,Brave,Fearful,Timid,B,Craven' means contemptibly lacking in courage; cowardly; 'brave' is the antonym.
Vocabulary,Easy,What is the past participle of **'break'**?,breaked,broke,broken,breaking,C,Broken' is the past participle of 'break'.
Vocabulary,Medium,Find the synonym for **'callous'**.,Sensitive,Caring,Cruel,Kind,C,Callous' means showing an insensitive and cruel disregard for others.
Vocabulary,Hard,What does **'pellucid'** mean?,Cloudy,Opaque,Translucent; clearly expressed,Dull,C,Pellucid' means transparently clear; clearly expressed.
Vocabulary,Easy,Which word is a synonym for **'start'**?,Stop,Begin,Finish,Pause,B,Begin' means to start; synonymous with start.
Vocabulary,Medium,The word **'dogmatic'** means:,Open-minded,Asserting opinions as facts,Flexible,Doubtful,B,Dogmatic' means asserting opinions as facts without evidence.
Vocabulary,Hard,Find the antonym for **'accolade'**?,Praise,Award,Censure,Honor,C,An 'accolade' is an award or expression of praise; 'censure' (disapproval) is the antonym.
Vocabulary,Easy,What is the noun form of the verb **'imagine'**?,imagining,imagined,imagination,imaginative,C,Imagination' is the noun form.
Vocabulary,Medium,What does **'censure'** mean?,Praise,Approve,Express severe disapproval,Celebrate,C,Censure' means to express severe disapproval of someone or something.
Vocabulary,Hard,A **'maverick'** is a person who is:,Conformist,Team player,Independent and nonconformist,Obedient,C,A 'maverick' is an independent-minded person.
Vocabulary,Easy,The opposite of **'first'** is:,Middle,Second,Last,Start,C,Last' is the antonym of 'first'.
Vocabulary,Medium,The word **'circumspect'** means:,Rash,Careful,Reckless,Hasty,B,Circumspect' means wary and unwilling to take risks; careful.
Vocabulary,Hard,Find the synonym for **'exigent'**.,Unimportant,Pressing,Trivial,Minor,B,Exigent' means pressing; demanding.
Vocabulary,Medium,What does **'ubiquitous'** mean?,Rare,Everywhere,Scarce,Hidden,B,"Ubiquitous' means present, appearing, or found everywhere."
Vocabulary,Hard,The opposite of **'impertinent'** is:,Rude,Insolent,Polite,Disrespectful,C,Impertinent' means not showing proper respect; 'polite' is the antonym.
Vocabulary,Easy,Which word is a synonym for **'answer'**?,Question,Reply,Ask,Query,B,Reply' means to say something in response; synonymous with answer.
Vocabulary,Medium,Find the synonym for **'prodigious'**.,Small,Ordinary,Enormous,Weak,C,"Prodigious' means remarkably or impressively great in extent, size, or degree; enormous."
Vocabulary,Hard,The word **'sycophant'** means:,Critic,Admirer,Flatterer,Teacher,C,A 'sycophant' is a servile flatterer; a person who acts obsequiously to gain advantage.
Vocabulary,Medium,The word **'acumen'** means:,Stupidity,Sharpness of mind,Inability,Laziness,B,Acumen' means the ability to make good judgments and quick decisions.
