lesson,type,promptEN,promptTE,A,B,C,D,correct,feedbackEN,feedbackTE
1,mcq,I will send _ an email.,నేను _ కి ఒక ఇమెయిల్ పంపుతాను.,she,her,hers,herself,B,her' is the object pronoun that receives the email.,her' అనేది ఇమెయిల్‌ను స్వీకరించే ఆబ్జెక్ట్ ప్రోనౌన్.
2,mcq,What is a common first line in a self-introduction?,స్వీయ పరిచయంలో సాధారణంగా మొదటి వాక్యం ఏమిటి?,My hobby is...,My name is...,My aim is...,I am from...,B,Starting with your name is the standard and polite way to begin a self-introduction.,మీ పేరుతో ప్రారంభించడం స్వీయ-పరిచయాన్ని ప్రారంభించడానికి ప్రామాణిక మరియు మర్యాదపూర్వక మార్గం.
2,mcq,Which question asks for your name?,ఏ ప్రశ్న మీ పేరును అడుగుతుంది?,What do you do?,Where are you from?,What is your name?,How old are you?,C,What is your name?' is the direct question used to ask for someone's name.,What is your name?' అనేది ఒకరి పేరు అడగడానికి ఉపయోగించే ప్రత్యక్ష ప్రశ్న.
2,mcq,Which question is NOT about your name?,ఏ ప్రశ్న మీ పేరుకు సంబంధించినది కాదు?,What is your name?,May I know your good name?,What do you do?,How should I call you?,C,"What do you do?' is a question about your profession, not your name.","What do you do?' అనేది మీ వృత్తికి సంబంధించిన ప్రశ్న, మీ పేరుకు కాదు."
2,mcq,Which question asks about your 'location'?,ఏ ప్రశ్న మీ 'location' (ప్రదేశం) గురించి అడుగుతుంది?,What is your hobby?,What is your aim?,Where are you from?,What does your father do?,C,Where are you from?' is used to ask about the city or country a person belongs to.,Where are you from?' అనేది ఒక వ్యక్తి ఏ నగరం లేదా దేశానికి చెందినవాడో అడగడానికి ఉపయోగించబడుతుంది.
2,mcq,I belong to Mumbai' is another way to say:,I belong to Mumbai' అని చెప్పడానికి మరో మార్గం:,I like Mumbai.,I am Mumbai.,My name is Mumbai.,I am from Mumbai.,D,"I belong to...' is a common phrase used to state your native place, meaning the same as 'I am from...'.","I belong to...' అనేది మీ స్వస్థలాన్ని చెప్పడానికి ఉపయోగించే ఒక సాధారణ పదబంధం, ఇది 'I am from...'కి సమానమైన అర్థాన్ని ఇస్తుంది."
2,mcq,What does 'native place' mean?,native place' (స్వస్థలం) అంటే ఏమిటి?,Your workplace.,Your school name.,The place where you were born and grew up.,Your hobby.,C,Your 'native place' is your home town or the place you originally come from.,మీ 'native place' (స్వస్థలం) అంటే మీ సొంత ఊరు లేదా మీరు వాస్తవంగా ఎక్కడి నుండి వచ్చారో ఆ ప్రదేశం.
2,mcq,How do you ask about someone's current location?,ఒకరి ప్రస్తుత ప్రదేశం గురించి మీరు ఎలా అడుగుతారు?,Where are you from?,Where do you live?,What is your native place?,What is your name?,B,"Where do you live?' asks about the place you currently reside, which might be different from your native place.","Where do you live?' అనేది మీరు ప్రస్తుతం నివసిస్తున్న ప్రదేశం గురించి అడుగుతుంది, ఇది మీ స్వస్థలానికి భిన్నంగా ఉండవచ్చు."
2,mcq,I hail from...' is a formal way to talk about your...,I hail from...' అనేది మీ గురించి మాట్లాడటానికి ఒక అధికారిక మార్గం...,Hobby,Aim,Location,Family,C,"I hail from...' is a formal phrase that means 'I come from...', used to state your native place.","I hail from...' అనేది ఒక అధికారిక పదబంధం, దీని అర్థం 'I come from...', ఇది మీ స్వస్థలాన్ని చెప్పడానికి ఉపయోగించబడుతుంది."
2,mcq,How can you introduce your father's profession?,మీ తండ్రి వృత్తిని మీరు ఎలా పరిచయం చేయవచ్చు?,My father is 50 years old.,My father is a farmer.,My father is tall.,My father likes reading.,B,"My father is a...' followed by his job (farmer, teacher, doctor) is the correct way.","My father is a...' తర్వాత అతని ఉద్యోగం (farmer, teacher, doctor) చెప్పడం సరైన మార్గం."
2,mcq,How do you say you have one brother and one sister?,మీకు ఒక అన్న మరియు ఒక చెల్లెలు ఉన్నారని మీరు ఎలా చెబుతారు?,I have one family.,I have two persons.,I have two siblings.,I am a sibling.,C,Siblings' is the word for brothers and sisters. 'I have two siblings' is the correct way to say this.,Siblings' అంటే సోదరులు మరియు సోదరీమణులు. 'I have two siblings' అని చెప్పడం సరైన మార్గం.
2,mcq,"If you are the only child, you can say:",మీరు ఏకైక సంతానం అయితే  మీరు ఇలా చెప్పవచ్చు:,I am a single child.,I don't have any siblings.,I have no brother or sister.,All of the above.,D,All three sentences are correct ways to express that you do not have any brothers or sisters.,మీకు సోదరులు లేదా సోదరీమణులు ఎవరూ లేరని చెప్పడానికి ఈ మూడు వాక్యాలు సరైన మార్గాలు.
2,mcq,Which question asks about your family?,ఏ ప్రశ్న మీ కుటుంబం గురించి అడుగుతుంది?,What do you do?,How many people are there in your family?,What do you like to do?,Where do you live?,B,This question directly asks about the size of your family.,ఈ ప్రశ్న నేరుగా మీ కుటుంబ పరిమాణం గురించి అడుగుతుంది.
2,mcq,How can you describe your mother's profession?,మీ తల్లి వృత్తిని మీరు ఎలా వివరించగలరు?,My mother's name is...,My mother is a homemaker.,My mother is 45.,My mother is from Chennai.,B,"A 'homemaker' is a person who manages the home. You can also say 'My mother is a teacher', etc.",homemaker' (గృహిణి) అంటే ఇంటిని నిర్వహించే వ్యక్తి. మీరు 'My mother is a teacher' అని కూడా చెప్పవచ్చు.
2,mcq,We are four members in my family' is a common way to talk about...,We are four members in my family' అనేది మీ గురించి మాట్లాడటానికి ఒక సాధారణ మార్గం...,Hobbies,Family,Profession,Aim,B,This sentence clearly states the total number of people in your family.,ఈ వాక్యం మీ కుటుంబంలోని మొత్తం వ్యక్తుల సంఖ్యను స్పష్టంగా తెలియజేస్తుంది.
2,mcq,Which question asks about your 'profession'?,ఏ ప్రశ్న మీ 'profession' (వృత్తి) గురించి అడుగుతుంది?,Where are you from?,What do you do?,What is your hobby?,What is your aim in life?,B,What do you do?' is the most common way to ask someone about their job or profession.,What do you do?' అనేది ఒకరి ఉద్యోగం లేదా వృత్తి గురించి అడగడానికి అత్యంత సాధారణ మార్గం.
2,mcq,I work for Google' tells about your...,I work for Google' అనేది మీ... గురించి చెబుతుంది.,Family,Company,Hobby,Aim,B,This sentence states the name of the company where you are employed.,ఈ వాక్యం మీరు ఉద్యోగం చేస్తున్న కంపెనీ పేరును తెలియజేస్తుంది.
2,mcq,I am an engineer' is a statement about your...,I am an engineer' అనేది మీ... గురించి ఒక ప్రకటన.,Profession,Location,Hobby,Family,A,This sentence clearly states your profession or job title.,ఈ వాక్యం మీ వృత్తి లేదా ఉద్యోగ శీర్షికను స్పష్టంగా తెలియజేస్తుంది.
2,mcq,What's another way to ask 'What is your job?'?,What is your job?' అని అడగడానికి మరో మార్గం ఏమిటి?,What is your hobby?,What do you do?,What are you doing?,What is your name?,B,What do you do?' is a more common and polite way to ask about someone's profession.,What do you do?' అనేది ఒకరి వృత్తి గురించి అడగడానికి మరింత సాధారణ మరియు మర్యాదపూర్వక మార్గం.
2,mcq,"If you are not working, you can say:","మీరు పని చేయకపోతే, మీరు ఇలా చెప్పవచ్చు:",I am an engineer.,I am a doctor.,I am unemployed.,I am from Delhi.,C,Unemployed' means you do not have a job currently.,Unemployed' (నిరుద్యోగి) అంటే మీకు ప్రస్తుతం ఉద్యోగం లేదని అర్థం.
2,mcq,I work as a software developer' is a way to talk about your...,I work as a software developer' అనేది మీ... గురించి మాట్లాడటానికి ఒక మార్గం.,Family,Hobby,Profession,Aim,C,This sentence uses the structure 'I work as a...' to describe your specific job role.,ఈ వాక్యం మీ నిర్దిష్ట ఉద్యోగ పాత్రను వివరించడానికి 'I work as a...' అనే నిర్మాణాన్ని ఉపయోగిస్తుంది.
2,mcq,Which question asks about your 'hobbies'?,ఏ ప్రశ్న మీ 'hobbies' (హాబీలు) గురించి అడుగుతుంది?,What do you do?,Where do you live?,What do you like to do in your free time?,What is your goal?,C,What do you like to do in your free time?' is a common question to ask about hobbies.,What do you like to do in your free time?' అనేది హాబీల గురించి అడగడానికి ఒక సాధారణ ప్రశ్న.
2,mcq,My hobby is reading books' is a statement about your...,My hobby is reading books' అనేది మీ... గురించి ఒక ప్రకటన.,Aim,Hobby,Profession,Family,B,This sentence clearly states an activity you enjoy doing in your free time.,ఈ వాకయం మీరు మీ ఖాళీ సమయంలో చేయడానికి ఇష్టపడే ఒక కార్యాచరణను స్పష్టంగా తెలియజేస్తుంది.
2,mcq,I like...' is used to talk about your...,I like...' అనేది మీ... గురించి మాట్లాడటానికి ఉపయోగించబడుతుంది.,Job,Family,Hobbies,Aim,C,"You can use the phrase 'I like...' (e.g., 'I like painting') to describe your interests.","మీ ఆసక్తులను వివరించడానికి మీరు 'I like...' (ఉదా., 'I like painting') అనే పదబంధాన్ని ఉపయోగించవచ్చు."
2,mcq,What is another way to say 'My hobby is cooking'?,My hobby is cooking' అని చెప్పడానికి మరో మార్గం ఏమిటి?,I am a cook.,I like cooking.,I want to cook.,I am from the kitchen.,B,I like cooking' expresses the same meaning as 'My hobby is cooking'.,I like cooking' అనేది 'My hobby is cooking'కి సమానమైన అర్థాన్ని వ్యక్తీకరిస్తుంది.
2,mcq,Which of these is a 'hobby'?,వీటిలో ఏది 'hobby' (హాబీ)?,Engineer,Student,Gardening,Hyderabad,C,Gardening' is an activity that people do for pleasure in their free time. The others are professions or locations.,Gardening' (తోటపని) అనేది ప్రజలు వారి ఖాళీ సమయంలో ఆనందం కోసం చేసే ఒక కార్యాచరణ. మిగిలినవి వృత్తులు లేదా ప్రదేశాలు.
2,mcq,How do you ask someone about their interests?,ఒకరి ఆసక్తుల గురించి మీరు ఎలా అడుగుతారు?,What do you do?,What are you interested in?,Where are you from?,What is your name?,B,What are you interested in?' is a good way to ask about someone's hobbies and passions.,What are you interested in?' అనేది ఒకరి హాబీలు మరియు అభిరుచుల గురించి అడగడానికి ఒక మంచి మార్గం.
2,mcq,I enjoy...' can be used to talk about your...,I enjoy...' అనేది మీ... గురించి మాట్లాడటానికి ఉపయోగించబడుతుంది.,Hobbies,Aim,Profession,Location,A,"I enjoy...' (e.g., 'I enjoy watching movies') is another phrase to describe things you like to do.","I enjoy...' (ఉదా., 'I enjoy watching movies') అనేది మీరు చేయడానికి ఇష్టపడే విషయాలను వివరించడానికి మరో పదబంధం."
2,mcq,Which question asks about your 'future aim'?,ఏ ప్రశ్న మీ 'future aim' (భవిష్యత్ లక్ష్యం) గురించి అడుగుతుంది?,What are you doing now?,What did you do yesterday?,What is your goal in life?,What do you like to do?,C,What is your goal in life?' or 'What is your aim?' asks about your ambitions for the future.,What is your goal in life?' లేదా 'What is your aim?' అనేది భవిష్యత్తు కోసం మీ ఆశయాల గురించి అడుగుతుంది.
2,mcq,My goal is to start my own business' is a statement about your...,My goal is to start my own business' అనేది మీ... గురించి ఒక ప్రకటన.,Family,Hobby,Future Aim,Location,C,This sentence clearly describes your ambition or a goal you want to achieve in the future.,ఈ వాక్యం మీ ఆశయాన్ని లేదా భవిష్యత్తులో మీరు సాధించాలనుకుంటున్న లక్ష్యాన్ని స్పష్టంగా వివరిస్తుంది.
2,mcq,What is another way to say 'I want to be a doctor'?,I want to be a doctor' అని చెప్పడానికి మరో మార్గం ఏమిటి?,My aim is to become a doctor.,I am a doctor.,My father is a doctor.,I like doctors.,A,My aim is to become...' expresses the same idea as 'I want to be...'.,My aim is to become...' అనేది 'I want to be...'కి సమానమైన ఆలోచనను వ్యక్తీకరిస్తుంది.
2,mcq,Ambition' means...,Ambition' (ఆశయం) అంటే...,A hobby you like.,Your family's profession.,A strong desire to achieve something.,Your native place.,C,Your 'ambition' or 'aim' is your main goal or what you hope to achieve in your life.,మీ 'ambition' లేదా 'aim' (ఆశయం) అనేది మీ ప్రధాన లక్ష్యం లేదా మీరు మీ జీవితంలో సాధించాలని ఆశించేది.
2,mcq,I look forward to...' or 'I aspire to...' are phrases used for...,I look forward to...' లేదా 'I aspire to...' అనేవి ... కోసం ఉపయోగించే పదబంధాలు.,Family,Hobbies,Future Aims,Location,C,These are formal phrases used to express your hopes and ambitions for the future.,ఇవి భవిష్యత్తు కోసం మీ ఆశలు మరియు ఆశయాలను వ్యక్తీకరించడానికి ఉపయోగించే అధికారిక పదబంధాలు.
3,mcq,What is the V-ing form of 'talk'?,talk' యొక్క V-ing ఫారం ఏమిటి?,Talked,Talks,Talking,Talk,C,The V-ing form (present participle) is formed by adding -ing to the base verb.,V-ing ఫారం (ప్రెజెంట్ పార్టిసిపుల్) బేస్ క్రియకు -ing జోడించడం ద్వారా ఏర్పడుతుంది.
3,mcq,What is the V2 form of the regular verb 'walk'?,walk' అనే రెగ్యులర్ క్రియ యొక్క V2 ఫారం ఏమిటి?,Walked,Walking,Walks,Walk,A,The V2 (past tense) of 'walk' is 'walked'.,walk' యొక్క V2 (పాస్ట్ టెన్స్) 'walked'.
3,mcq,How do most regular verbs form their V2 and V3?,చాలా రెగ్యులర్ క్రియలు వాటి V2 మరియు V3 ని ఎలా ఏర్పరుస్తాయి?,By adding -ing,By adding -s,By adding -ed,By not changing,C,Most regular verbs form their past tense (V2) and past participle (V3) by adding -ed.,చాలా రెగ్యులర్ క్రియలు వాటి పాస్ట్ టెన్స్ (V2) మరియు పాస్ట్ పార్టిసిపుల్ (V3) ను -ed జోడించడం ద్వారా ఏర్పరుస్తాయి.
3,mcq,What is the V3 form of 'ask'?,ask' యొక్క V3 ఫారం ఏమిటి?,Asked,Asking,Asks,Ask,A,The V3 form of 'ask' is 'asked'.,ask' యొక్క V3 ఫారం 'asked'.
3,mcq,What is the V2 form of 'call'?,call' యొక్క V2 ఫారం ఏమిటి?,Calling,Calls,Called,Call,C,The V2 form of 'call' is 'called'.,call' యొక్క V2 ఫారం 'called'.
3,mcq,What is the V-ing form of 'clean'?,clean' యొక్క V-ing ఫారం ఏమిటి?,Cleans,Cleaned,Cleaning,Clean,C,The V-ing form of 'clean' is 'cleaning'.,clean' యొక్క V-ing ఫారం 'cleaning'.
3,mcq,What is the V-s form of 'work'?,work' యొక్క V-s ఫారం ఏమిటి?,Worked,Working,Works,Work,C,The V-s form (He/She/It) of 'work' is 'works'.,work' యొక్క V-s ఫారం (He/She/It) 'works'.
3,mcq,What is the base form (V1) of 'walking'?,walking' యొక్క బేస్ ఫారం (V1) ఏమిటి?,walked,walks,walking,walk,D,The base form (V1) is 'walk'. We add -ing to it.,బేస్ ఫారం (V1) 'walk'. దానికి -ing జోడిస్తాము.
3,mcq,What is the V2 form of 'live'?,live' యొక్క V2 ఫారం ఏమిటి?,Lived,Living,Lives,Live,A,The V2 form of 'live' is 'lived'. We just add -d.,live' యొక్క V2 ఫారం 'lived'. మేము కేవలం -d జోడిస్తాము.
3,mcq,What is the V-ing form of 'dance'?,dance' యొక్క V-ing ఫారం ఏమిటి?,Danced,Dances,Danceing,Dancing,D,When a verb ends in -e, drop the -e and add -ing.
3,mcq,What is the V3 form of 'study'?,study' యొక్క V3 ఫారం ఏమిటి?,Studying,Studies,Studyed,Studied,D,The V3 form follows the same rule as V2: change 'y' to 'i' and add -ed.,V3 ఫారం V2 వలె అదే నియమాన్ని అనుసరిస్తుంది: 'y'ని 'i'గా మార్చి -ed జోడించండి.
3,mcq,The baby ____ (cry) a lot last night.,పాప నిన్న రాత్రి చాలా (cry).,cries,cried,crying,cry,B,Last night' indicates simple past tense. The V2 form of 'cry' is 'cried'.,Last night' సింపుల్ పాస్ట్ టెన్స్‌ను సూచిస్తుంది. 'cry' యొక్క V2 ఫారం 'cried'.
3,mcq,It ____ (rain) all day yesterday.,నిన్న రోజంతా (rain).,rains,rained,raining,rain,B,Yesterday' indicates simple past tense. Use the V2 form 'rained'.,Yesterday' సింపుల్ పాస్ట్ టెన్స్‌ను సూచిస్తుంది. V2 ఫారం 'rained' ఉపయోగించండి.
3,mcq,What is the V2 form of 'help'?,help' యొక్క V2 ఫారం ఏమిటి?,Helped,Helping,Helps,Help,A,The V2 (past tense) of 'help' is 'helped'.,help' యొక్క V2 (పాస్ట్ టెన్స్) 'helped'.
3,mcq,What is the V3 form of 'talk'?,talk' యొక్క V3 ఫారం ఏమిటి?,Talked,Talking,Talks,Talk,A,The V3 (past participle) of 'talk' is 'talked'.,talk' యొక్క V3 (పాస్ట్ పార్టిసిపుల్) 'talked'.
4,mcq,What is the past tense (V2) of 'go'?,go' యొక్క పాస్ట్ టెన్స్ (V2) ఏమిటి?,goed,went,gone,goes,B,went' is the V2 form. 'gone' is the V3 form. 'go' is irregular.,went' V2 ఫారం. 'gone' V3 ఫారం. 'go' ఒక ఇర్రెగ్యులర్ క్రియ.
4,mcq,What is the past tense (V2) of 'take'?,take' యొక్క పాస్ట్ టెన్స్ (V2) ఏమిటి?,taked,took,taken,take,B,took' is the V2 form. 'taken' is the V3 form.,took' V2 ఫారం. 'taken' V3 ఫారం.
4,mcq,They have ____ a new car.,వారు ఒక కొత్త కారును ____.,buy,buyed,bought,boughten,C,bought' is the V3 form of 'buy'. It is the same as the V2 form.,bought' అనేది 'buy' యొక్క V3 ఫారం. ఇది V2 ఫారం వలె ఉంటుంది.
4,mcq,He ____ me a story last night.,అతను నిన్న రాత్రి నాకు ఒక కథ ____.,tell,tells,told,telled,C,last night' indicates the simple past. The V2 of 'tell' is 'told'.,last night' సింపుల్ పాస్ట్ ను సూచిస్తుంది. 'tell' యొక్క V2 'told'.
4,mcq,What is the V2 form of 'eat'?,eat' యొక్క V2 ఫారం ఏమిటి?,eaten,eat,ate,eated,C,ate' is the V2 (simple past) form. 'eaten' is the V3 form.,ate' V2 (సింపుల్ పాస్ట్) ఫారం. 'eaten' V3 ఫారం.
4,mcq,What is the V3 form of 'see'?,see' యొక్క V3 ఫారం ఏమిటి?,saw,see,sawed,seen,D,seen' is the V3 form. 'saw' is the V2 form.,seen' V3 ఫారం. 'saw' V2 ఫారం.
4,mcq,The bird ____ away.,పక్షి ____ ఎగిరిపోయింది.,fly,flew,flown,flied,B,This describes a simple past action. 'flew' is the V2 of 'fly'.,ఇది ఒక సింపుల్ పాస్ట్ చర్యను వివరిస్తుంది. 'flew' 'fly' యొక్క V2.
4,mcq,What is the V2 form of 'do'?,do' యొక్క V2 ఫారం ఏమిటి?,does,do,did,done,C,did' is the V2 (simple past) form of 'do'.,did' 'do' యొక్క V2 (సింపుల్ పాస్ట్) ఫారం.
4,mcq,What is the V2 of 'write'?,write' యొక్క V2 ఏమిటి?,writed,wrote,written,write,B,wrote' is the V2 (simple past) form.,wrote' V2 (సింపుల్ పాస్ట్) ఫారం.
4,mcq,What is the V3 of 'write'?,write' యొక్క V3 ఏమిటి?,writed,wrote,written,write,C,written' is the V3 (past participle) form.,written' V3 (పాస్ట్ పార్టిసిపుల్) ఫారం.
4,mcq,What is the V2 of 'sing'?,sing' యొక్క V2 ఏమిటి?,sing,sang,sung,singed,B,sang' is the V2 (simple past) form.,sang' V2 (సింపుల్ పాస్ట్) ఫారం.
